failed_logins,request_rate,commands_count,sql_payload,honeytoken_access,session_time,label,source,timestamp
1,10,0,0,0,60,Normal,honeypot,2026-02-03T20:41:45.6979813Z
1,10,0,0,0,60,Normal,honeypot,2026-02-03T20:41:56.0958063Z
0,100,0,0,0,60,Normal,honeypot,2026-02-03T20:43:09.7563645Z
0,100,2,0,0,60,Normal,honeypot,2026-02-03T20:43:49.6900516Z
0,100,2,0,0,60,Normal,honeypot,2026-02-03T20:45:57.4710031Z
0,100,2,0,0,60,Normal,honeypot,2026-02-04T05:37:48.2938511Z
0,100,2,0,0,60,Normal,honeypot,2026-02-04T05:43:45.8735069Z
0,100,2,0,0,60,Normal,honeypot,2026-02-04T05:52:03.7046265Z
0,10,0,0,0,60,Normal,honeypot,2026-02-04T05:56:02.4266137Z
